Frame,Class,X,Y,Width,Height,Confidence
5,truck,37,83,35,30,0.33218944
5,truck,37,83,35,30,0.34531757
5,truck,40,84,33,27,0.42350703
5,truck,40,83,34,29,0.6459677
5,truck,40,83,34,29,0.6594155
5,car,81,86,43,34,0.3714651
5,car,82,86,42,34,0.39970747
5,car,83,86,44,34,0.6749702
5,car,83,86,43,34,0.7093241
5,car,140,89,31,21,0.69239056
5,car,141,89,30,22,0.6974451
5,car,141,89,29,22,0.7160149
5,truck,80,86,45,36,0.43203244
5,truck,81,86,44,36,0.44743595
5,truck,83,86,43,36,0.61253816
5,truck,83,86,43,36,0.60290736
5,car,225,109,26,19,0.89287704
5,car,225,109,25,19,0.9048035
5,car,225,109,25,19,0.90139586
5,car,226,109,27,19,0.26681653
5,car,226,110,27,18,0.29206762
5,car,226,110,27,18,0.2945334
5,car,225,110,26,19,0.654609
5,car,225,110,26,19,0.6865319
5,car,225,110,26,19,0.69542587
5,car,227,110,25,19,0.25266007
5,car,227,111,25,18,0.28742892
5,car,227,111,25,18,0.27494392
5,car,91,117,34,50,0.7555307
5,car,91,117,34,50,0.7308999
5,car,291,135,13,13,0.61824346
5,car,291,135,13,14,0.48379385
5,car,91,119,34,50,0.41974598
5,car,91,119,34,50,0.41396242
5,person,271,133,6,25,0.45157897
5,person,271,133,6,25,0.21630646
5,car,368,171,7,13,0.22789131
5,car,363,181,13,18,0.4707866
5,car,363,180,13,20,0.38214386
5,car,363,179,14,22,0.24637686
5,car,364,183,14,19,0.5262897
5,car,364,183,14,20,0.48803243
5,car,363,182,15,21,0.27693722
5,car,375,188,8,16,0.2245365
5,car,383,217,27,21,0.2747627
5,car,384,216,28,22,0.34388098
5,car,384,216,28,22,0.31457394
5,car,388,216,27,23,0.225663
5,car,387,216,27,24,0.20167813
5,car,379,217,36,35,0.21352987
5,car,386,218,29,33,0.2395276
5,car,386,218,29,33,0.2500421
5,car,366,219,42,53,0.7761237
5,car,366,219,42,53,0.7863031
5,car,362,222,42,57,0.30262566
5,car,361,222,43,57,0.32413897
5,car,366,222,42,55,0.9086271
5,car,365,222,43,55,0.9240451
5,truck,40,83,33,29,0.6490718
5,truck,40,83,34,30,0.635374
5,car,83,86,43,36,0.64491373
5,car,84,86,42,36,0.6644003
5,car,141,88,30,23,0.717247
5,car,224,108,27,22,0.60401964
5,car,91,117,33,49,0.79081047
5,car,91,117,33,49,0.78726166
5,car,91,119,33,50,0.5272409
5,car,91,118,33,51,0.5300903
5,car,380,216,33,35,0.39940116
5,car,380,216,34,36,0.29469687
5,car,386,215,29,35,0.35785946
5,car,385,214,30,37,0.20573212
5,car,365,221,44,57,0.9738267
5,car,365,221,43,57,0.97262067
5,car,364,221,45,58,0.9406882
5,car,290,196,90,133,0.8206565
5,car,288,196,93,135,0.9278549
5,car,288,195,93,137,0.93321633
5,car,291,195,92,137,0.9530711
5,car,289,194,95,139,0.97424155
5,car,290,193,94,141,0.975215
5,car,288,198,94,149,0.3407286
5,car,288,197,94,153,0.30323407
5,car,290,198,93,150,0.6970554
5,car,290,197,93,153,0.6995767
5,car,291,194,92,141,0.99120885
5,car,291,195,92,140,0.98562336
10,car,65,81,34,27,0.5310518
10,car,65,81,34,27,0.56341314
10,truck,123,85,20,19,0.3402172
10,truck,123,85,20,19,0.32957238
10,truck,123,85,20,19,0.32601956
10,car,64,84,33,26,0.46101588
10,car,64,83,35,28,0.710475
10,car,64,83,35,28,0.70520455
10,car,95,85,45,36,0.22255263
10,car,96,85,44,36,0.25580147
10,truck,96,86,44,37,0.5934847
10,truck,96,87,44,37,0.6017862
10,car,97,86,46,37,0.39374757
10,car,97,86,45,37,0.37475407
10,car,203,103,29,21,0.8996303
10,car,204,104,28,20,0.8997217
10,car,204,104,27,20,0.90542305
10,car,278,129,14,12,0.39984635
10,car,277,128,15,13,0.2817002
10,car,91,117,34,49,0.7047125
10,car,91,117,34,49,0.6831261
10,car,278,130,15,14,0.5912809
10,car,278,130,15,14,0.5726114
10,car,277,130,17,14,0.2795769
10,car,91,119,34,49,0.533221
10,car,91,119,34,50,0.5303281
10,car,363,180,13,19,0.48539203
10,car,364,179,14,21,0.43670425
10,car,363,179,15,22,0.3082605
10,car,364,183,14,19,0.42215776
10,car,364,183,14,20,0.3876755
10,car,363,182,15,22,0.25098154
10,car,374,188,8,16,0.22798194
10,car,383,217,27,21,0.28237045
10,car,384,216,28,22,0.3550869
10,car,384,215,28,23,0.3267268
10,car,387,216,27,24,0.23704939
10,car,387,216,27,24,0.21236189
10,car,379,217,36,35,0.20955947
10,car,386,218,29,33,0.23829971
10,car,386,218,29,33,0.24903835
10,car,366,219,42,53,0.77712196
10,car,366,219,42,53,0.78681004
10,car,362,222,42,57,0.31311223
10,car,361,222,43,57,0.33469325
10,car,366,222,42,55,0.91161144
10,car,365,222,43,55,0.9266918
10,car,63,82,36,26,0.5397885
10,car,63,81,36,27,0.4387956
10,car,64,83,35,28,0.54989207
10,truck,64,82,35,29,0.5392567
10,truck,95,87,45,37,0.6300427
10,truck,96,87,44,37,0.6454944
10,car,205,102,26,24,0.9022394
10,car,92,117,32,50,0.84214383
10,car,92,117,32,49,0.84301966
10,car,92,118,32,51,0.6122211
10,car,92,118,32,51,0.61800945
10,car,380,215,33,35,0.4133495
10,car,380,216,34,36,0.30496365
10,car,386,215,29,36,0.3697551
10,car,385,214,30,37,0.2188781
10,car,365,221,44,57,0.97530407
10,car,365,221,43,57,0.9741224
10,car,364,220,45,59,0.9429124
10,car,290,196,90,133,0.8319749
10,car,288,196,93,135,0.93447626
10,car,288,195,93,137,0.93955314
10,car,291,195,92,137,0.956048
10,car,289,194,95,139,0.9765412
10,car,290,193,94,141,0.9774676
10,car,288,198,94,149,0.3540734
10,car,288,197,94,153,0.31631237
10,car,290,198,93,150,0.7068543
10,car,290,198,93,152,0.7098695
10,car,291,194,91,141,0.9924648
10,car,291,195,91,139,0.9874925
15,car,85,82,31,23,0.3987993
15,truck,85,82,31,24,0.44163558
15,truck,85,82,31,24,0.45519957
15,truck,87,83,29,27,0.21271585
15,truck,86,81,31,29,0.37503293
15,truck,85,81,31,29,0.38476044
15,car,108,88,45,37,0.67396504
15,car,108,89,45,36,0.679468
15,car,180,98,31,20,0.9439277
15,car,181,98,30,20,0.95435035
15,car,181,98,30,20,0.9586773
15,person,228,107,3,11,0.56179845
15,car,268,124,12,17,0.3784712
15,car,266,124,13,17,0.3270059
15,car,91,117,34,50,0.8488394
15,car,91,117,34,50,0.8349282
15,car,91,119,34,50,0.63137275
15,car,91,119,34,50,0.63258904
15,car,363,180,15,20,0.4386672
15,car,363,179,15,21,0.42246255
15,car,363,179,16,22,0.3376374
15,car,363,183,15,20,0.42152193
15,car,363,182,15,21,0.4195361
15,car,363,182,16,22,0.33368358
15,car,383,217,27,21,0.27498913
15,car,384,217,28,22,0.34640735
15,car,384,215,28,23,0.31859636
15,car,387,216,27,23,0.22990651
15,car,387,216,27,24,0.20569895
15,car,379,217,36,35,0.20865431
15,car,386,218,29,33,0.23491976
15,car,386,218,29,33,0.24521104
15,car,366,219,42,53,0.7721881
15,car,366,219,42,53,0.7816805
