Frame,Number of Faces,Bounding Box Coordinates
1,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
2,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
3,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
4,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
5,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
6,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
7,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
8,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
9,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
10,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
11,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
12,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
13,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
14,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
15,2,"(820, 626, 934, 740); (331, 309, 500, 478)"
16,3,"(819, 625, 934, 740); (329, 309, 500, 480); (1259, 37, 1315, 93)"
17,3,"(819, 625, 934, 740); (329, 309, 500, 480); (1259, 37, 1315, 93)"
18,3,"(819, 625, 934, 740); (1259, 37, 1315, 93); (329, 309, 500, 480)"
19,3,"(819, 625, 934, 740); (329, 309, 500, 480); (1259, 37, 1315, 93)"
20,3,"(819, 625, 934, 740); (1259, 37, 1315, 93); (329, 309, 500, 480)"
21,3,"(819, 625, 934, 740); (329, 309, 500, 480); (1259, 37, 1315, 93)"
22,3,"(819, 625, 934, 740); (1259, 37, 1315, 93); (329, 309, 500, 480)"
23,3,"(819, 625, 934, 740); (329, 309, 500, 480); (1259, 37, 1315, 93)"
24,3,"(819, 625, 934, 740); (329, 309, 500, 480); (1259, 37, 1315, 93)"
25,3,"(819, 625, 934, 740); (329, 309, 500, 480); (1259, 37, 1315, 93)"
26,3,"(819, 625, 934, 740); (329, 309, 500, 480); (1259, 37, 1315, 93)"
27,3,"(819, 625, 934, 740); (329, 309, 500, 480); (1259, 37, 1315, 93)"
28,3,"(819, 625, 934, 740); (1259, 37, 1315, 93); (329, 309, 500, 480)"
29,3,"(819, 625, 934, 740); (1259, 37, 1315, 93); (329, 309, 500, 480)"
30,3,"(819, 625, 934, 740); (329, 309, 500, 480); (1259, 37, 1315, 93)"
31,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
32,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
33,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
34,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
35,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
36,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
37,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
38,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
39,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
40,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
41,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
42,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
43,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
44,2,"(817, 625, 934, 742); (330, 309, 502, 481)"
